"Date","Time","Open","High","Low","Close","Vol","OI"
04/11/1988,23:00,2090.19,2110.08,2075.27,2095.99,146370,0
04/12/1988,23:00,2095.99,2120.69,2085.38,2110.08,146400,0
04/13/1988,23:00,2110.08,2121.35,2082.56,2107.10,185120,0
04/14/1988,23:00,2083.22,2083.22,1998.18,2005.64,211810,0
04/15/1988,23:00,2005.64,2031.33,1969.99,2013.93,234160,0
04/18/1988,23:00,2013.93,2023.04,1985.74,2008.12,144650,0
04/19/1988,23:00,2008.12,2047.08,1990.55,1999.50,161910,0
04/20/1988,23:00,1999.50,2015.42,1975.46,1985.41,147590,0
04/21/1988,23:00,1985.41,2030.50,1968.00,1987.40,168440,0
04/22/1988,23:00,1987.40,2029.01,1985.58,2015.09,152520,0
04/25/1988,23:00,2015.09,2048.57,2011.60,2035.97,156950,0
04/26/1988,23:00,2035.97,2062.83,2023.04,2044.76,152300,0
04/27/1988,23:00,2044.76,2066.64,2033.16,2047.91,133810,0
04/28/1988,23:00,2047.91,2057.53,2026.03,2041.28,128680,0
04/29/1988,23:00,2041.28,2047.91,2014.09,2032.33,135620,0
05/02/1988,23:00,2032.33,2050.40,2019.89,2043.27,136470,0
05/03/1988,23:00,2043.27,2071.95,2036.64,2058.36,176920,0
05/04/1988,23:00,2058.36,2067.14,2029.51,2036.31,141320,0
05/05/1988,23:00,2036.31,2038.46,2008.95,2020.23,171840,0
05/06/1988,23:00,2013.59,2013.59,1997.84,2007.46,129080,0
05/09/1988,23:00,2007.46,2013.59,1984.08,1997.35,166320,0
05/10/1988,23:00,1997.35,2020.23,1984.42,2003.64,131200,0
05/11/1988,23:00,1988.56,1988.56,1950.27,1965.85,176720,0
05/12/1988,23:00,1965.85,1986.07,1960.54,1968.00,143880,0
05/13/1988,23:00,1971.65,2001.49,1971.65,1990.55,147240,0
05/16/1988,23:00,1990.55,2012.60,1980.27,2007.63,155010,0
05/17/1988,23:00,2007.63,2026.69,1982.10,1986.41,133850,0
05/18/1988,23:00,1986.41,1992.87,1941.31,1951.09,209420,0
05/19/1988,23:00,1951.09,1963.86,1921.58,1958.72,165160,0
05/20/1988,23:00,1958.72,1978.78,1940.48,1952.59,120600,0
05/23/1988,23:00,1952.59,1962.37,1927.22,1941.48,102640,0
05/24/1988,23:00,1941.48,1967.67,1938.16,1962.53,139930,0
05/25/1988,23:00,1962.53,1984.58,1952.42,1961.37,138310,0
05/26/1988,23:00,1961.37,1981.15,1951.28,1966.70,164260,0
05/27/1988,23:00,1966.70,1970.84,1944.35,1956.44,133590,0
05/31/1988,23:00,1959.38,2034.50,1959.38,2031.12,247610,0
06/01/1988,23:00,2031.12,2076.28,2021.34,2064.01,234560,0
06/02/1988,23:00,2064.01,2073.26,2030.94,2052.45,193540,0
06/03/1988,23:00,2052.45,2080.73,2040.00,2071.31,189600,0
06/06/1988,23:00,2071.31,2083.93,2049.08,2075.21,152460,0
06/07/1988,23:00,2075.21,2082.86,2042.85,2054.59,168710,0
06/08/1988,23:00,2055.83,2113.62,2055.83,2102.95,310030,0
