Date,Time,Open,HA 1,HA 2
7/31/1997,23:00,91.89,0,0
8/29/1997,23:00,95.5,0,0
9/30/1997,23:00,90.69,0,0
10/31/1997,23:00,95.25,0,0
11/28/1997,23:00,93.19,0,0
12/31/1997,23:00,96.22,0,0
1/30/1998,23:00,97.31,0,0
2/27/1998,23:00,99.91,0,0
3/31/1998,23:00,105.25,105.25,107.47
4/30/1998,23:00,110.31,106.36,110.7
5/29/1998,23:00,111.75,108.53,110.42
6/30/1998,23:00,108.97,109.47,111.12
7/31/1998,23:00,114.06,110.3,114.1
8/31/1998,23:00,111.78,112.2,103.72
9/30/1998,23:00,96.06,107.96,99.61
10/30/1998,23:00,100.03,103.78,103.29
11/30/1998,23:00,110.81,103.54,114.21
12/31/1998,23:00,116.13,108.87,119.49
1/29/1999,23:00,123.38,114.18,124.98
2/26/1999,23:00,128.69,119.58,125.6
3/31/1999,23:00,123.66,122.59,126.61
4/30/1999,23:00,129.69,124.6,132.16
5/31/1999,23:00,133.44,128.38,132.41
6/30/1999,23:00,130.13,130.39,133.1
7/30/1999,23:00,137,131.75,136.17
8/31/1999,23:00,132.75,133.96,132.65
9/30/1999,23:00,132.94,133.3,130.97
10/29/1999,23:00,127.94,132.14,131.52
11/30/1999,23:00,136.5,131.83,138.34
12/31/1999,23:00,139.31,135.08,143.27
1/31/2000,23:00,148.25,139.18,142.76
2/29/2000,23:00,139.75,140.97,138.62
3/31/2000,23:00,137.63,139.79,144.7
4/28/2000,23:00,150.13,142.25,145.52
5/31/2000,23:00,146.56,143.88,143.59
6/30/2000,23:00,143.69,143.74,145.28
7/31/2000,23:00,145.44,144.51,145.72
8/31/2000,23:00,143.63,145.11,147.92
9/29/2000,23:00,153.09,146.52,148.1
10/31/2000,23:00,144.28,147.31,140.78
11/30/2000,23:00,142.25,144.05,137.14
12/29/2000,23:00,133.19,140.59,132.37
1/31/2001,23:00,132,136.48,133.82
2/28/2001,23:00,137.1,135.15,130.21
3/30/2001,23:00,124.05,132.68,119.13
4/30/2001,23:00,116.3,125.91,119.54
5/31/2001,23:00,125.07,122.72,126.64
6/29/2001,23:00,126.2,124.68,124.52
7/31/2001,23:00,122.8,124.6,121.31
8/31/2001,23:00,121.97,122.95,117.87
9/28/2001,23:00,113.85,120.41,107.22
10/31/2001,23:00,103.9,113.82,105.98
11/30/2001,23:00,106.6,109.9,110.75
12/31/2001,23:00,113.65,110.32,114.49
1/31/2002,23:00,115.11,112.4,113.67
2/28/2002,23:00,113.09,113.04,111.34
3/29/2002,23:00,111.72,112.19,113.91
4/30/2002,23:00,114.23,113.05,110.96
5/31/2002,23:00,107.97,112,107.83
6/28/2002,23:00,107.09,109.92,102.21
7/31/2002,23:00,99.18,106.06,91.96
8/30/2002,23:00,90.88,99.01,90.84
9/30/2002,23:00,90.73,94.92,86.47
10/31/2002,23:00,82.43,90.69,84.83
11/29/2002,23:00,88.35,87.76,91.18
12/31/2002,23:00,95.47,89.47,91.72
1/31/2003,23:00,88.85,90.59,88.23
2/28/2003,23:00,86.14,89.41,84.71
3/31/2003,23:00,85.26,87.06,84.81
4/30/2003,23:00,85.25,85.94,88.72
5/30/2003,23:00,91.92,87.33,94.11
6/30/2003,23:00,97.53,90.72,98.55
7/31/2003,23:00,97.25,94.63,98.74
8/29/2003,23:00,99.19,96.69,99.7
9/30/2003,23:00,101.64,98.19,101.39
10/31/2003,23:00,100.24,99.79,102.91
11/28/2003,23:00,105.75,101.35,105.69
12/31/2003,23:00,106.85,103.52,108.9
1/30/2004,23:00,111.74,106.21,112.97
2/27/2004,23:00,113.7,109.59,114.48
3/31/2004,23:00,115.43,112.04,113.58
4/30/2004,23:00,113.07,112.81,112.58
5/31/2004,23:00,111.37,112.7,111.39
6/30/2004,23:00,112.46,112.04,113.45
7/30/2004,23:00,114.25,112.75,111.93
8/31/2004,23:00,110.19,112.34,109.88
9/30/2004,23:00,110.95,111.11,111.72
10/29/2004,23:00,112.26,111.41,112.37
