"Date","Time","Open","High","Low","Close","Vol","OI"
07/31/1997,23:00,91.89,96.03,90.69,95.31,44389100,0
08/29/1997,23:00,95.50,96.63,89.34,90.38,97647038,0
09/30/1997,23:00,90.69,96.38,90.25,94.38,77957000,0
10/31/1997,23:00,95.25,98.50,84.38,92.06,132160100,0
11/28/1997,23:00,93.19,96.81,90.09,95.63,93094900,0
12/31/1997,23:00,96.22,99.00,92.38,96.84,78953200,0
01/30/1998,23:00,97.31,99.56,90.91,98.31,102923100,0
02/27/1998,23:00,99.91,105.53,99.72,105.00,68985200,0
03/31/1998,23:00,105.25,111.53,103.16,109.94,86254700,0
04/30/1998,23:00,110.31,113.44,107.63,111.41,117749700,0
05/29/1998,23:00,111.75,113.31,107.58,109.03,113106100,0
06/30/1998,23:00,108.97,114.69,107.50,113.31,141210300,0
07/31/1998,23:00,114.06,119.23,111.31,111.78,154350400,0
08/31/1998,23:00,111.78,112.41,95.00,95.69,268522124,0
09/30/1998,23:00,96.06,107.00,93.63,101.75,269353716,0
10/30/1998,23:00,100.03,110.91,92.22,110.00,249126884,0
11/30/1998,23:00,110.81,119.72,110.19,116.13,136369000,0
12/31/1998,23:00,116.13,124.75,113.75,123.31,155978800,0
01/29/1999,23:00,123.38,128.50,120.38,127.66,141418900,0
02/26/1999,23:00,128.69,128.84,121.33,123.56,164623500,0
03/31/1999,23:00,123.66,132.63,121.78,128.38,148201100,0
04/30/1999,23:00,129.69,137.50,128.13,133.30,151204200,0
05/31/1999,23:00,133.44,138.00,128.00,130.20,176438000,0
06/30/1999,23:00,130.13,137.25,128.02,137.00,157467700,0
07/30/1999,23:00,137.00,142.19,132.75,132.75,114318000,0
08/31/1999,23:00,132.75,138.78,127.00,132.06,142925900,0
09/30/1999,23:00,132.94,136.63,125.56,128.75,165995000,0
10/29/1999,23:00,127.94,137.69,123.44,137.00,195497200,0
11/30/1999,23:00,136.50,143.00,134.59,139.28,125025800,0
12/31/1999,23:00,139.31,147.88,139.00,146.88,121642700,0
01/31/2000,23:00,148.25,148.25,135.00,139.56,156747000,0
02/29/2000,23:00,139.75,144.56,132.72,137.44,187311000,0
03/31/2000,23:00,137.63,155.75,135.03,150.38,247453700,0
04/28/2000,23:00,150.13,153.11,133.75,145.09,214520200,0
05/31/2000,23:00,146.56,148.48,136.50,142.81,161039000,0
06/30/2000,23:00,143.69,149.16,143.00,145.28,125840800,0
07/31/2000,23:00,145.44,151.98,141.52,143.94,105440200,0
08/31/2000,23:00,143.63,153.09,142.63,152.34,98394200,0
09/29/2000,23:00,153.09,153.56,142.13,143.63,106464500,0
10/31/2000,23:00,144.28,145.75,130.16,142.95,176058700,0
11/30/2000,23:00,142.25,144.28,129.75,132.28,156649900,0
12/29/2000,23:00,133.19,139.56,125.53,131.19,165515900,0
01/31/2001,23:00,132.00,138.70,127.56,137.02,181296600,0
02/28/2001,23:00,137.10,137.99,121.80,123.95,178613100,0
03/30/2001,23:00,124.05,127.75,108.04,116.69,318197000,0
04/30/2001,23:00,116.30,127.66,109.30,124.91,251999900,0
05/31/2001,23:00,125.07,132.09,123.44,125.95,208071800,0
06/29/2001,23:00,126.20,129.23,120.03,122.60,203612800,0
07/31/2001,23:00,122.80,124.32,116.75,121.35,196989600,0
08/31/2001,23:00,121.97,123.35,112.01,114.15,269622000,0
09/28/2001,23:00,113.85,116.79,93.80,104.44,419272200,0
10/31/2001,23:00,103.90,111.80,102.42,105.80,512891800,0
11/30/2001,23:00,106.60,116.90,105.43,114.05,374104400,0
12/31/2001,23:00,113.65,118.00,112.00,114.30,308508100,0
01/31/2002,23:00,115.11,117.99,108.40,113.18,349869100,0
02/28/2002,23:00,113.09,113.30,107.82,111.15,424765300,0
03/29/2002,23:00,111.72,117.90,111.51,114.52,386624800,0
04/30/2002,23:00,114.23,115.10,106.63,107.86,404375500,0
05/31/2002,23:00,107.97,111.25,104.90,107.22,453205700,0
06/28/2002,23:00,107.09,107.60,95.19,98.96,535842400,0
07/31/2002,23:00,99.18,99.80,77.68,91.16,1125002800,0
08/30/2002,23:00,90.88,97.15,83.55,91.78,948092300,0
09/30/2002,23:00,90.73,93.33,80.01,81.79,1014772200,0
10/31/2002,23:00,82.43,91.29,77.07,88.52,1346727800,0
11/29/2002,23:00,88.35,94.95,87.45,93.98,819425600,0
12/31/2002,23:00,95.47,96.05,87.11,88.23,729203400,0
01/31/2003,23:00,88.85,93.86,84.15,86.06,919291800,0
02/28/2003,23:00,86.14,86.81,81.00,84.90,864057600,0
03/31/2003,23:00,85.26,89.88,79.38,84.74,1158369800,0
04/30/2003,23:00,85.25,92.80,84.91,91.91,999068100,0
05/30/2003,23:00,91.92,97.09,90.50,96.95,884854800,0
06/30/2003,23:00,97.53,102.18,96.85,97.63,871842800,0
07/31/2003,23:00,97.25,101.90,96.43,99.39,921263700,0
08/29/2003,23:00,99.19,101.82,96.34,101.44,777642200,0
09/30/2003,23:00,101.64,104.70,99.25,99.95,821448000,0
10/31/2003,23:00,100.24,105.89,100.20,105.30,834006900,0
11/28/2003,23:00,105.75,106.95,103.62,106.45,631422062,0
12/31/2003,23:00,106.85,111.52,105.96,111.28,679293500,0
01/30/2004,23:00,111.74,115.93,110.73,113.48,746623400,0
02/27/2004,23:00,113.70,116.43,112.78,115.02,676314100,0
03/31/2004,23:00,115.43,116.95,108.85,113.10,1126535100,0
04/30/2004,23:00,113.07,115.41,110.90,110.96,969259500,0
05/31/2004,23:00,111.37,113.26,108.06,112.86,984916000,0
06/30/2004,23:00,112.46,114.94,111.87,114.53,726878300,0
07/30/2004,23:00,114.25,114.40,108.21,110.84,956389700,0
08/31/2004,23:00,110.19,111.63,106.59,111.11,924660600,0
09/30/2004,23:00,110.95,113.74,110.41,111.76,792728500,0
10/29/2004,23:00,112.26,114.68,109.35,113.20,1046548000,0
11/30/2004,23:00,113.56,119.14,113.20,117.89,964653300,0
12/31/2004,23:00,118.16,121.66,117.73,120.87,911595100,0
01/31/2005,23:00,121.56,121.76,116.37,118.16,1191300500,0
02/28/2005,23:00,118.25,121.67,118.10,120.63,1029730300,0
03/31/2005,23:00,120.78,123.25,116.25,117.96,1342455200,0
04/29/2005,23:00,118.63,119.26,113.55,115.75,1668709200,0
05/31/2005,23:00,116.07,120.25,114.80,119.48,1346701200,0
06/30/2005,23:00,119.52,121.94,118.75,119.18,1106113800,0
07/29/2005,23:00,119.45,124.64,118.26,123.74,1187274600,0
08/31/2005,23:00,123.83,124.74,120.38,122.58,1315322100,0
