Date,Time,Open,High,Low,Close,Vol,OI,HA 1,HA 2,State
15.07.1997,00:00,91.89,92.31,91.22,92.06,3186900,0,0.00,0.00,0.00
16.07.1997,00:00,92.31,92.77,91.47,92.63,2978600,0,0.00,0.00,0.00
17.07.1997,00:00,93.13,94.09,92.89,93.69,2614300,0,0.00,0.00,0.00
18.07.1997,00:00,93.63,93.81,92.48,93.28,1791400,0,0.00,0.00,0.00
19.07.1997,00:00,93.02,93.97,91.06,91.30,3860800,0,0.00,0.00,0.00
22.07.1997,00:00,91.28,91.59,90.69,91.31,3791700,0,0.00,0.00,0.00
23.07.1997,00:00,91.69,93.80,91.63,93.73,4243400,0,0.00,0.00,0.00
24.07.1997,00:00,93.94,94.48,93.53,93.69,3189200,0,0.00,0.00,0.00
25.07.1997,00:00,93.94,94.27,92.69,94.09,4149700,0,0.00,0.00,0.00
26.07.1997,00:00,94.56,94.81,93.09,93.94,2359800,0,0.00,0.00,0.00
29.07.1997,00:00,94.25,94.56,93.50,93.97,2786700,0,94.25,94.07,0.00
30.07.1997,00:00,93.63,94.47,93.42,94.34,2736500,0,94.16,93.97,-1.00
31.07.1997,00:00,94.50,95.63,94.41,95.30,4644700,0,94.06,94.96,1.00
1.08.1997,00:00,95.41,96.03,95.03,95.31,2055400,0,94.51,95.44,1.00
2.08.1997,00:00,95.50,95.72,93.81,94.94,7077700,0,94.98,94.99,1.00
5.08.1997,00:00,94.78,95.55,94.41,95.28,2336000,0,94.99,95.00,1.00
6.08.1997,00:00,95.09,95.69,94.91,95.25,1467038,0,95.00,95.23,1.00
7.08.1997,00:00,95.44,96.53,95.06,96.14,2440800,0,95.12,95.79,1.00
8.08.1997,00:00,96.50,96.63,95.13,95.31,3630000,0,95.45,95.89,1.00
9.08.1997,00:00,94.31,94.75,92.41,93.38,7156300,0,95.67,93.71,-1.00
12.08.1997,00:00,93.75,94.28,92.63,94.06,6355900,0,94.69,93.68,-1.00
13.08.1997,00:00,94.22,94.55,92.47,92.56,6159700,0,94.19,93.45,-1.00
14.08.1997,00:00,93.69,93.84,90.38,92.28,6838100,0,93.82,92.55,-1.00
15.08.1997,00:00,93.09,93.31,91.72,92.75,3442000,0,93.18,92.72,-1.00
16.08.1997,00:00,92.13,92.13,89.63,89.66,4855500,0,92.95,90.89,-1.00
19.08.1997,00:00,90.38,91.78,89.34,91.63,5550700,0,91.92,90.78,-1.00
20.08.1997,00:00,92.22,92.91,91.53,92.84,3802800,0,91.35,92.38,0.00
21.08.1997,00:00,92.94,94.31,92.61,94.25,3494800,0,91.86,93.53,1.00
22.08.1997,00:00,94.13,94.25,92.09,92.58,5379000,0,92.70,93.26,0.00
23.08.1997,00:00,91.00,92.73,90.56,92.56,7118700,0,92.98,91.71,-1.00
26.08.1997,00:00,92.78,93.41,91.84,92.22,3888000,0,92.35,92.56,0.00
27.08.1997,00:00,92.00,92.56,90.70,90.86,4285900,0,92.45,91.53,-1.00
28.08.1997,00:00,91.00,91.97,90.41,91.53,5475000,0,91.99,91.23,-1.00
29.08.1997,00:00,91.19,91.94,90.00,90.06,4261300,0,91.61,90.80,-1.00
30.08.1997,00:00,90.13,91.11,89.72,90.38,2631800,0,91.20,90.33,-1.00
3.09.1997,00:00,90.69,93.36,90.59,93.36,7078300,0,90.77,92.00,1.00
4.09.1997,00:00,93.30,94.00,92.75,92.81,2809500,0,91.38,93.22,1.00
5.09.1997,00:00,93.06,93.72,92.75,93.48,2467100,0,92.30,93.25,1.00
6.09.1997,00:00,93.97,94.44,92.59,93.14,3660200,0,92.78,93.53,1.00
9.09.1997,00:00,93.72,94.00,93.31,93.55,803500,0,93.16,93.64,1.00
10.09.1997,00:00,93.22,94.28,92.91,93.56,1877900,0,93.40,93.49,1.00
11.09.1997,00:00,93.13,93.50,91.81,91.81,3617400,0,93.45,92.56,-1.00
12.09.1997,00:00,91.78,91.91,90.25,91.13,6775400,0,93.00,91.27,-1.00
13.09.1997,00:00,92.00,92.97,90.94,92.66,6708000,0,92.14,92.14,1.00
16.09.1997,00:00,92.66,93.31,92.19,92.50,2060500,0,92.14,92.67,1.00
17.09.1997,00:00,93.31,95.28,93.03,94.94,6967900,0,92.40,94.14,1.00
18.09.1997,00:00,95.38,95.50,94.50,94.84,2155600,0,93.27,95.06,1.00
19.09.1997,00:00,95.00,96.38,94.97,95.22,5043100,0,94.16,95.39,1.00
20.09.1997,00:00,94.66,95.36,94.41,95.09,1564300,0,94.78,94.88,1.00
23.09.1997,00:00,95.50,96.20,95.22,95.67,3248500,0,94.83,95.65,1.00
24.09.1997,00:00,95.56,95.70,94.75,95.13,1816500,0,95.24,95.28,1.00
25.09.1997,00:00,95.38,96.11,94.28,94.34,2792900,0,95.26,95.03,0.00
26.09.1997,00:00,94.25,94.75,93.63,93.69,6327800,0,95.14,94.08,-1.00
27.09.1997,00:00,94.44,94.81,94.19,94.47,3995800,0,94.61,94.48,0.00
30.09.1997,00:00,94.38,95.56,94.16,95.38,2054200,0,94.54,94.87,1.00
1.10.1997,00:00,95.00,95.69,94.38,94.38,4132600,0,94.71,94.86,1.00
2.10.1997,00:00,95.25,95.81,94.78,95.66,3529800,0,94.78,95.38,1.00
3.10.1997,00:00,95.53,96.19,95.31,96.16,2577500,0,95.08,95.80,1.00
4.10.1997,00:00,97.53,97.75,94.25,96.64,6497900,0,95.44,96.54,1.00
7.10.1997,00:00,97.31,97.61,96.91,97.28,2266100,0,95.99,97.28,1.00
8.10.1997,00:00,97.53,98.50,97.20,98.19,1829100,0,96.63,97.86,1.00
9.10.1997,00:00,98.36,98.38,96.73,97.50,4371200,0,97.24,97.74,1.00
10.10.1997,00:00,96.78,97.61,96.22,97.16,3505000,0,97.49,96.94,0.00
11.10.1997,00:00,96.31,96.98,96.25,96.88,2854400,0,97.22,96.61,0.00
14.10.1997,00:00,97.34,97.55,96.72,96.97,1760300,0,96.91,97.15,1.00
15.10.1997,00:00,97.47,97.50,96.19,97.00,2235700,0,97.03,97.04,1.00
16.10.1997,00:00,96.31,97.06,96.28,96.78,2601700,0,97.03,96.61,0.00
17.10.1997,00:00,97.31,97.50,95.00,95.25,9488100,0,96.82,96.27,0.00
18.10.1997,00:00,95.02,95.38,93.00,94.38,8116300,0,96.54,94.44,-1.00
21.10.1997,00:00,94.84,95.75,94.16,95.63,3632700,0,95.49,95.09,-1.00
22.10.1997,00:00,96.22,97.50,96.03,97.48,5210300,0,95.29,96.81,1.00
23.10.1997,00:00,97.34,97.39,96.53,96.84,4474000,0,96.05,97.03,1.00
24.10.1997,00:00,94.94,95.75,94.28,94.94,7995700,0,96.54,94.98,-1.00
25.10.1997,00:00,96.16,96.16,93.67,94.00,6772700,0,95.76,95.00,-1.00
28.10.1997,00:00,93.02,93.94,86.84,87.19,10762500,0,95.38,90.25,-1.00
29.10.1997,00:00,85.13,92.88,84.38,92.22,15109400,0,92.81,88.65,-1.00
30.10.1997,00:00,92.50,93.75,91.28,91.97,9913800,0,90.73,92.38,0.00
31.10.1997,00:00,90.63,92.56,89.75,89.94,9610900,0,91.55,90.72,-1.00
1.11.1997,00:00,91.81,92.50,90.44,92.06,7045000,0,91.14,91.70,0.00
4.11.1997,00:00,93.19,94.38,92.88,94.38,5547500,0,91.42,93.71,0.00
5.11.1997,00:00,93.88,94.44,93.28,94.06,3437400,0,92.56,93.92,0.00
6.11.1997,00:00,94.19,95.28,93.84,94.31,4769600,0,93.24,94.41,0.00
7.11.1997,00:00,94.03,94.34,93.50,93.95,3679400,0,93.82,93.95,0.00
8.11.1997,00:00,92.38,93.25,91.44,92.94,10596300,0,93.89,92.50,-1.00
11.11.1997,00:00,93.63,93.84,92.00,92.38,4347900,0,93.20,92.96,-1.00
12.11.1997,00:00,92.69,93.06,92.03,92.41,3212400,0,93.08,92.55,-1.00
13.11.1997,00:00,91.63,92.72,90.38,90.50,6775300,0,92.81,91.31,-1.00
14.11.1997,00:00,91.47,92.16,90.09,91.94,8583100,0,92.06,91.42,-1.00
15.11.1997,00:00,92.31,93.39,91.61,93.06,5827900,0,91.74,92.59,0.00
18.11.1997,00:00,94.38,95.31,94.03,94.78,5147600,0,92.17,94.63,1.00
19.11.1997,00:00,94.81,95.09,93.89,94.19,3433600,0,93.40,94.50,1.00
20.11.1997,00:00,93.69,95.06,92.75,94.66,4387700,0,93.95,94.04,1.00
21.11.1997,00:00,95.31,96.53,95.28,96.09,4811800,0,93.99,95.80,1.00
22.11.1997,00:00,96.63,96.81,95.66,96.75,5433400,0,94.90,96.46,1.00
