"Date","Time","Open","High","Low","Close","Vol","OI"
04/16/1998,23:15,21.44,22.36,21.44,22.06,0,0
04/17/1998,23:15,22.32,22.32,20.69,20.76,0,0
04/20/1998,23:15,21.22,21.25,20.38,20.39,0,0
04/21/1998,23:15,20.51,20.54,19.64,19.91,0,0
04/22/1998,23:15,19.74,19.83,19.25,19.44,0,0
04/23/1998,23:15,20.40,20.77,19.43,20.60,0,0
04/24/1998,23:15,20.28,22.42,20.15,21.97,0,0
04/27/1998,23:15,24.95,27.47,24.95,26.09,0,0
04/28/1998,23:15,24.04,24.88,23.69,24.17,0,0
04/29/1998,23:15,23.36,23.69,22.54,22.78,0,0
04/30/1998,23:15,21.16,21.37,20.51,21.18,0,0
05/01/1998,23:15,20.72,20.92,19.30,19.34,0,0
05/04/1998,23:15,19.57,20.56,19.49,20.32,0,0
05/05/1998,23:15,20.94,21.73,20.73,21.46,0,0
05/06/1998,23:15,21.90,22.89,21.84,22.79,0,0
05/07/1998,23:15,23.65,23.90,22.93,23.39,0,0
05/08/1998,23:15,20.94,21.10,20.18,20.57,0,0
05/11/1998,23:15,20.08,21.40,19.67,21.05,0,0
05/12/1998,23:15,21.23,21.70,20.71,20.98,0,0
05/13/1998,23:15,20.29,20.72,20.22,20.44,0,0
05/14/1998,23:15,19.90,20.83,19.63,19.64,0,0
05/15/1998,23:15,19.61,21.05,19.33,20.44,0,0
05/18/1998,23:15,20.84,22.21,20.80,21.69,0,0
05/19/1998,23:15,20.74,21.13,20.11,20.39,0,0
05/20/1998,23:15,19.66,20.34,19.55,19.89,0,0
05/21/1998,23:15,19.70,19.95,19.22,19.38,0,0
05/22/1998,23:15,18.66,19.55,18.60,18.99,0,0
05/26/1998,23:15,19.66,22.07,19.63,22.07,0,0
05/27/1998,23:15,24.33,25.10,22.59,22.59,0,0
05/28/1998,23:15,21.79,21.92,20.51,20.74,0,0
05/29/1998,23:15,19.93,21.53,19.93,21.32,0,0
06/01/1998,23:15,22.71,23.32,22.15,22.83,0,0
06/02/1998,23:15,22.22,22.66,21.68,22.00,0,0
06/03/1998,23:15,21.10,22.89,21.04,22.85,0,0
06/04/1998,23:15,22.82,23.15,21.11,21.22,0,0
06/05/1998,23:15,20.48,20.52,19.77,19.78,0,0
06/08/1998,23:15,19.02,20.86,18.97,20.58,0,0
06/09/1998,23:15,20.45,21.05,20.34,20.52,0,0
06/10/1998,23:15,21.26,21.93,20.42,21.48,0,0
06/11/1998,23:15,21.87,23.65,21.87,23.57,0,0
06/12/1998,23:15,23.57,25.05,22.73,22.78,0,0
06/15/1998,23:15,24.77,26.03,23.89,25.94,0,0
06/16/1998,23:15,26.49,26.49,24.80,24.80,0,0
06/17/1998,23:15,23.38,23.51,22.27,22.89,0,0
06/18/1998,23:15,22.87,23.06,22.34,22.40,0,0
06/19/1998,23:15,21.48,22.12,21.31,21.92,0,0
06/22/1998,23:15,22.96,23.08,21.59,21.94,0,0
06/23/1998,23:15,21.18,21.18,20.14,20.17,0,0
06/24/1998,23:15,20.18,20.55,19.46,20.02,0,0
06/25/1998,23:15,19.50,20.32,19.36,20.25,0,0
06/26/1998,23:15,19.84,19.95,19.18,19.36,0,0
06/29/1998,23:15,19.39,19.58,18.93,19.57,0,0
06/30/1998,23:15,19.85,19.88,19.12,19.71,0,0
07/01/1998,23:15,18.99,19.35,18.00,18.00,0,0
07/02/1998,23:15,18.49,18.68,17.63,17.67,0,0
07/06/1998,23:15,19.06,19.18,18.59,18.63,0,0
07/07/1998,23:15,18.40,18.85,18.31,18.62,0,0
07/08/1998,23:15,18.24,18.32,17.52,17.82,0,0
07/09/1998,23:15,18.05,18.49,17.78,18.16,0,0
07/10/1998,23:15,17.86,18.54,17.58,17.92,0,0
07/13/1998,23:15,18.36,18.51,18.09,18.26,0,0
07/14/1998,23:15,18.32,18.32,17.60,17.88,0,0
07/15/1998,23:15,17.88,18.65,17.65,17.89,0,0
07/16/1998,23:15,17.56,18.07,16.86,16.97,0,0
07/17/1998,23:15,16.42,16.50,16.10,16.23,0,0
07/20/1998,23:15,17.73,17.73,16.81,17.34,0,0
07/21/1998,23:15,17.45,20.35,17.45,20.10,0,0
07/22/1998,23:15,20.53,21.30,20.16,20.32,0,0
07/23/1998,23:15,20.54,24.08,20.31,23.01,0,0
07/24/1998,23:15,22.54,24.54,22.54,23.01,0,0
07/27/1998,23:15,24.43,24.69,23.13,23.13,0,0
07/28/1998,23:15,23.69,26.68,23.43,25.25,0,0
07/29/1998,23:15,23.29,25.15,23.29,24.79,0,0
07/30/1998,23:15,23.81,23.81,22.66,22.66,0,0
