"Date","Time","Open","High","Low","Close","Vol","OI"
11/25/1997,00:00,96.00,96.34,94.63,95.00,4336900,0
11/26/1997,00:00,95.63,95.81,94.66,95.25,4521400,0
11/27/1997,00:00,95.88,95.98,95.31,95.53,2681000,0
11/29/1997,00:00,95.75,96.25,95.59,95.63,1564700,0
12/02/1997,00:00,96.22,98.09,96.03,98.09,4832200,0
12/03/1997,00:00,97.69,97.98,96.56,97.50,1974900,0
12/04/1997,00:00,97.63,98.53,96.88,97.78,3300500,0
12/05/1997,00:00,98.50,98.72,97.00,97.69,2872500,0
12/06/1997,00:00,97.38,99.00,97.13,98.94,3457300,0
12/09/1997,00:00,98.97,99.00,98.25,98.66,2241200,0
12/10/1997,00:00,98.22,98.59,97.63,98.06,1694700,0
12/11/1997,00:00,97.56,97.84,96.47,97.22,3558400,0
12/12/1997,00:00,96.31,96.59,95.31,95.56,5065200,0
12/13/1997,00:00,96.44,96.50,94.91,95.75,4452800,0
12/16/1997,00:00,96.25,97.11,95.88,96.72,4674700,0
12/17/1997,00:00,97.22,97.81,96.88,97.34,2883500,0
12/18/1997,00:00,97.84,97.88,96.70,96.81,2231300,0
12/19/1997,00:00,96.94,96.94,95.22,95.78,4644800,0
12/20/1997,00:00,94.53,95.88,92.38,94.69,8513300,0
12/23/1997,00:00,95.44,96.03,94.33,95.31,5135900,0
12/24/1997,00:00,95.44,95.63,93.53,93.69,4436500,0
12/25/1997,00:00,94.44,94.44,93.25,93.41,2019200,0
12/27/1997,00:00,94.13,94.13,93.41,93.78,941800,0
12/30/1997,00:00,94.59,95.72,94.44,95.72,2075000,0
12/31/1997,00:00,95.94,97.25,95.84,97.13,3606500,0
01/01/1998,00:00,96.88,97.63,96.69,96.84,4341000,0
01/03/1998,00:00,97.31,97.66,96.53,97.56,2360700,0
01/06/1998,00:00,97.84,98.44,96.78,97.78,4188300,0
01/07/1998,00:00,97.25,97.28,96.19,96.22,3152700,0
01/08/1998,00:00,96.09,96.94,95.22,96.56,4413700,0
01/09/1998,00:00,96.31,96.31,95.38,95.38,3820500,0
01/10/1998,00:00,95.25,95.50,91.91,92.31,10190900,0
01/13/1998,00:00,91.13,94.19,90.91,94.00,11375500,0
01/14/1998,00:00,94.63,95.38,94.22,95.31,5167500,0
01/15/1998,00:00,95.69,95.97,94.72,95.75,3660500,0
01/16/1998,00:00,95.50,95.75,94.81,94.84,2829400,0
01/17/1998,00:00,96.25,96.69,95.66,96.31,4373700,0
01/21/1998,00:00,96.69,98.02,96.50,97.97,4981800,0
01/22/1998,00:00,97.22,97.69,96.16,97.00,4680500,0
01/23/1998,00:00,96.16,96.88,95.88,96.13,4534900,0
01/24/1998,00:00,96.50,96.78,95.00,95.91,6318100,0
01/27/1998,00:00,96.38,96.73,93.75,95.78,4354200,0
01/28/1998,00:00,95.81,98.00,95.66,96.94,6736300,0
01/29/1998,00:00,97.41,98.11,97.19,97.72,4159200,0
01/30/1998,00:00,97.84,99.56,97.56,98.19,7977300,0
01/31/1998,00:00,98.78,98.97,98.00,98.31,3647400,0
02/03/1998,00:00,99.91,100.50,99.75,100.13,5733600,0
02/04/1998,00:00,100.00,100.81,99.72,100.69,2743000,0
02/05/1998,00:00,100.28,101.16,99.94,100.56,3373800,0
02/06/1998,00:00,101.31,101.59,100.03,100.50,4817100,0
02/07/1998,00:00,101.00,101.63,100.69,101.63,5679700,0
02/10/1998,00:00,101.72,101.75,100.72,101.22,2303300,0
02/11/1998,00:00,101.44,102.47,101.19,102.14,3639900,0
02/12/1998,00:00,102.09,103.19,101.70,102.16,4068700,0
02/13/1998,00:00,101.72,102.94,100.88,102.53,4988200,0
02/14/1998,00:00,102.19,102.94,101.88,102.06,2049900,0
02/18/1998,00:00,102.81,103.09,102.16,102.44,3014900,0
02/19/1998,00:00,102.31,103.48,102.28,103.34,2982000,0
02/20/1998,00:00,103.25,103.41,102.75,102.89,3383400,0
02/21/1998,00:00,103.08,103.75,102.38,103.66,3677000,0
02/24/1998,00:00,104.25,104.25,103.34,104.06,3220300,0
02/25/1998,00:00,103.91,104.09,102.94,103.25,3305200,0
02/26/1998,00:00,103.75,104.88,103.63,104.53,3409600,0
02/27/1998,00:00,104.44,105.22,104.19,105.13,3171600,0
02/28/1998,00:00,104.97,105.53,104.53,105.00,3424000,0
03/03/1998,00:00,105.25,105.75,104.63,104.91,4205300,0
03/04/1998,00:00,104.53,105.63,104.53,105.50,3343300,0
03/05/1998,00:00,105.09,105.41,104.06,104.88,4388100,0
03/06/1998,00:00,103.50,104.44,103.16,103.81,7243400,0
03/07/1998,00:00,104.56,105.88,104.44,105.86,6755000,0
03/10/1998,00:00,105.53,106.22,105.25,105.53,3341200,0
03/11/1998,00:00,106.22,106.84,105.94,106.66,5331000,0
03/12/1998,00:00,106.97,107.31,106.78,107.09,3428200,0
03/13/1998,00:00,107.09,107.59,106.50,107.41,3144300,0
03/14/1998,00:00,107.84,108.00,106.88,107.09,2847600,0
03/17/1998,00:00,107.84,108.34,107.53,108.28,3193600,0
03/18/1998,00:00,108.31,108.56,107.66,108.56,4572500,0
03/19/1998,00:00,108.25,108.94,108.03,108.88,1874400,0
03/20/1998,00:00,108.97,109.38,108.66,109.34,2475800,0
